Site;Dato;Tid;regn;vind;sol og sky;sommerfugler;Fluer;andre
E01;23.06.16;;;;;;;
E02;23.06.16;;;;;;;
E03;23.06.16;13:00;;;sol_littsky;;3;
E04;23.06.16;;;;;;;
E05;23.06.16;;;;;;;
E06;23.06.16;12:20;;;sol_littsky;;6;
E07;23.06.16;;;;;;;
E08;23.06.16;11:55;;;sol_littsky;;2;
E09;23.06.16;11:30;;;sol_littsky;;30;
E10;23.06.16;;;;;;;
E01;02.07.16;;;;;;;
E02;02.07.16;;;;;;;
E03;02.07.16;;;;;;;
E04;02.07.16;;;;;;;
E05;02.07.16;;;;;;;
E06;02.07.16;;;;;;;
E07;02.07.16;;;;;;;
E08;02.07.16;;;;;;;
E09;02.07.16;09:17;;2;overskyet;;4;
E10;02.07.16;;;;;;;
E01;04.07.16;09:35;;1;overskyet;;0;
E02;04.07.16;09:20;;1;overskyet;;0;
E03;04.07.16;09:45;;1;overskyet;;1;
E04;04.07.16;09:55;;1;overskyet;;0;
E05;04.07.16;10:05;;1;overskyet;;0;
E06;04.07.16;10:16;;1;overskyet;;6;
E07;04.07.16;10:25;;1;overskyet;;5;
E08;04.07.16;10:35;;1;overskyet;;2;
E09;04.07.16;11:00;;1;overskyet;;17;
E10;04.07.16;11:00;;1;overskyet;;3;
E01;05.07.16;11:30;;1;sol_littsky;;2;
E02;05.07.16;11:20;;1;sol_littsky;;16;
E03;05.07.16;11:00;;1;overskyet;;13;
E04;05.07.16;11:40;;1;sol_littsky;;6;
E05;05.07.16;09:30;;1;overskyet;;0;
E06;05.07.16;09:45;;1;overskyet;;3;
E07;05.07.16;10:00;;1;overskyet;;6;
E08;05.07.16;10:10;;1;overskyet;;12;
E09;05.07.16;10:30;;1;overskyet;;28;
E10;05.07.16;10:40;;1;overskyet;;4;
E01;06.07.16;10:26;;2;overskyet;;1;
E02;06.07.16;10:20;;2;overskyet;;1;
E03;06.07.16;10:10;;1;overskyet;;4;
E04;06.07.16;10:00;;2;overskyet;;1;
E05;06.07.16;09:50;;2;overskyet;;0;
E06;06.07.16;09:35;;1;overskyet;;4;
E07;06.07.16;09:30;;1;overskyet;;2;
E08;06.07.16;09:15;;2;overskyet;;5;
E09;06.07.16;10:50;;2;overskyet;;10;
E10;06.07.16;10:55;;2;overskyet;;5;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;14.07.16;09:25;;1;overskyet_littsol;;11;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;15.07.16;13:50;;1;sol_littsky;;7;
M04;;;;;;;;
M05;;;;;;;;
M06;15.07.16;15:15;;1;sol_littsky;;10;
M07;;;;;;;;
M08;15.07.16;14:15;;1;sol_littsky;;43;
M09;15.07.16;13:45;;1;sol_littsky;;28;
M10;15.07.16;13:40;;1;sol_littsky;;18;
M01;;;;;;;;
M02;;;;;;;;
M03;18.07.16;11:00;;1;overskyet_littsol;;17;
M04;;;;;;;;
M05;;;;;;;;
M06;18.07.16;10:15;;1;overskyet_littsol;;26;
M07;;;;;;;;
M08;18.07.16;09:40;;1;overskyet_littsol;;6;
M09;18.07.16;09:10;;1;overskyet_littsol;;2;
M10;18.07.16;09:15;;1;overskyet_littsol;;3;
M01;20.07.16;11:30;;1;sol_littsky;;5;
M02;20.07.16;11:35;;1;sol_littsky;;6;
M03;20.07.16;12:00;;1;sol_littsky;;22;
M04;20.07.16;11:10;;1;sol_littsky;;17;
M05;20.07.16;10:50;;1;sol_littsky;;17;
M06;20.07.16;10:35;;1;sol_littsky;;52;
M07;20.07.16;09:50;;1;sol_littsky;;12;
M08;20.07.16;12:50;;1;sol_littsky;;46;
M09;20.07.16;12:20;;1;sol_littsky;;16;
